pc_w execute_immediate_w immediate_sel_w alu_w lui_w jal_w jalr_w  branch_w mem_write_w mem_to_reg_w dest_reg_sel_w  alu_operation_w illegal_inst_w exception
00000000	 00000000	 0	 0	 0	 0	 0	 0	 0	 0	 00000	 000	 1	 1	
00000000	 00000000	 0	 0	 0	 0	 0	 0	 0	 0	 00010	 000	 1	 1	
00000004	 ffffffe0	 1	 1	 0	 0	 0	 0	 0	 0	 11100	 010	 0	 1	
00000008	 0000001c	 0	 0	 0	 0	 0	 0	 1	 0	 01000	 000	 0	 1	
0000000c	 00000020	 1	 1	 0	 0	 0	 0	 0	 0	 01111	 000	 0	 1	
00000010	 00000064	 1	 1	 0	 0	 0	 0	 0	 0	 01100	 010	 0	 1	
00000014	 ffffffec	 0	 0	 0	 0	 0	 0	 1	 0	 01111	 000	 0	 1	
00000018	 00000002	 1	 1	 0	 0	 0	 0	 0	 0	 01000	 010	 0	 1	
0000001c	 ffffffe8	 0	 0	 0	 0	 0	 0	 1	 0	 01110	 010	 0	 1	
00000020	 ffffffec	 1	 0	 0	 0	 0	 0	 0	 1	 01111	 010	 0	 1	
00000024	 ffffffe8	 1	 0	 0	 0	 0	 0	 0	 1	 01111	 000	 0	 1	
00000028	 00000000	 0	 1	 0	 0	 0	 0	 0	 0	 00100	 010	 0	 1	
0000002c	 ffffffe4	 0	 0	 0	 0	 0	 0	 1	 0	 01111	 010	 0	 1	
00000030	 ffffffe4	 1	 0	 0	 0	 0	 0	 0	 1	 01010	 000	 0	 1	
00000034	 00000000	 1	 1	 0	 0	 0	 0	 0	 0	 01000	 010	 0	 1	
00000038	 0000001c	 1	 0	 0	 0	 0	 0	 0	 1	 00010	 000	 0	 1	
0000003c	 00000020	 1	 1	 0	 0	 0	 0	 0	 0	 00000	 000	 0	 1	
00000040	 00000000	 1	 0	 0	 0	 1	 0	 0	 0	 00000	 000	 0	 1	
00000040	 00000000	 0	 0	 0	 0	 0	 0	 0	 0	 00000	 000	 1	 1	
